UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
1Voice,@broussardville,2020-11-21T04:17:04.000Z,"Replying to 
@CD6NuryThe issue I have is with the whole 
@LACityCouncil
 you saw this coming it has been a steady rise for the past 3 years!!! WTH are any of you doing but putting money in your own pockets with contract deals and everything else! 205K a year! Ya'll voted to give yourselves a raise SHDH",,1,,1
Daniel Guss,@TheGussReport,2020-11-21T04:10:16.000Z,".⁦
@KCBSKCALDesk
⁩ where is the “breaking news” story on THIS?  ⁦
@ericgarcetti
⁩ denied he ever saw this type of #SexualHarassment.  #MeToo #ResignEricGarcetti ⁦
@MayorOfLA
⁩ ⁦
@LACityCouncil
⁩ ⁦
@CD6Nury
⁩Garcetti advisor made sexually provocative gesture in photo with mayor
A 2017 photo shows Rick Jacobs, a close advisor to Mayor Eric Garcetti, making a sexually provocative gesture. Garcetti, who also appears in the photo, said he didn't know about the gesture or any...
latimes.com",,1,1,
Jake G,@JGolding13,2020-11-21T04:06:07.000Z,"Replying to 
@TheGussReport
 @ericgarcetti
 and 9 othersWTF? This is awful.",,,,
Daniel Guss,@TheGussReport,2020-11-21T03:47:43.000Z,"Replying to 
@BillFOXLAIt is over for 
@ericgarcetti
, not just in the 
@JoeBiden
 administration, but he needs to resign. 
@CD6Nury
 @Mike_Feuer
 @CityAttorneyLA
 @LACityCouncil
 #MeToo",,,,12
"Bruce Ray Carr
2020 & FOREVER!",@BruceRayCarr1,2020-11-21T03:33:49.000Z,"Replying to 
@poignant_potato
 @DaveMustang9
 and 3 othersLike maybe central Alaska? There's far fewer affordable places than there should be, & the cost of commuting will devour any savings in rent. One wonders where restaurants will get their waitstaff when nobody who isn't a millionaire can afford to live close enough to work there…",🌊,1,,
Yasmine Pomeroy for LA City Council,@yasmine4thecity,2020-11-21T03:29:33.000Z,"Replying to 
@ChavezRavineLA
 @CD6Nury
 and 2 othersI’m going to sound so lame and old and like one of those people but..... it wasn’t always like this 
  we are literally pushing people out of their homes.",😭 😭,1,,2
"Clint ""Abolish the Police"" Blakely",@clint_blakely,2020-11-20T23:55:04.000Z,"This is such bullshit. It's hard to even imagine how someone could decide that this was a good idea. Have a heart 
@LACityCouncil
!

#housekeysnothandcuffsJusticeLA
@JusticeLANow
 · Nov 20
With the cold and rain approaching, it’s especially cruel to make it a crime to seek refuge under a freeway, especially when there are no shelter beds available. In LA County there are 15,000 shelter beds and 60,000 unhoused. Where will people go? #housekeysnothandcuffs",,,,
Leah G-O,@lgomyeggo,2020-11-20T23:38:11.000Z,"Good. We need real solutions. Let’s start with commandeering hotels, creating affordable housing, and emergency COVID-19 relief for renters. Great job to 
@KtownforAll
 @PplsCityCouncil
 @JusticeLANow
 & othrs working so hard to hold 
@LACityCouncil
 accountable. #ServicesNotSweepsNury Martinez
@CD6Nury
 · Nov 20
On Tues, we will not take a vote on item 24. Instead, we'll continue to discuss homelessness on our city streets and work towards solving our unhoused crisis. 1/2
Show this thread",,,,5
Sunrise Kern,@SunriseKern,2020-11-20T23:10:00.000Z,"@LACityCouncil
 @GavinNewsom
, local gov’ts 
@CulverCityGov
 & 
@CountyVentura
 are both taking on Big Oil in neighborhoods with phase out plans & buffer zones. Now the ball’s in your court. Move to create a 2500ft buffer today. #NoDrillingWhereWereLiving",🌅,,,
"it’s sparksmastime again, charlie brown",@kyliesparks,2020-11-20T22:51:22.000Z,"It is cruel that these spaces that can help shelter the unhoused and stop the spread of covid are not being utilized.  We can solve the housing crisis.  Will you listen for once 
@MayorOfLA
 @CD6Nury
 @LACityCouncil
?JusticeLA
@JusticeLANow
 · Nov 20
#SeizeTheHotels: LA has 100,000 hotel rooms, 70,000 of which will be vacant for the next 5 years. Commandeer the vacant hotels and house every Angeleno now. #housekeysnothandcuffs",🖤 🥂 ⚾ 🏀,,1,2
"Center on Race, Poverty, & the Environment",@CRPE_EJ,2020-11-20T22:24:00.000Z,".
@LACityCouncil
 @GavinNewsom
, local gov’ts 
@CulverCityGov
 & 
@CountyVentura
 are both taking on Big Oil in neighborhoods with phase out plans & buffer zones. Now the ball’s in your court. Move to create a 2500ft buffer today. #NoDrillingWhereWereLiving",,,1,2
K.C.,@MendoKC,2020-11-20T22:22:54.000Z,"Replying to 
@gineycat
 @CD6Nury
 and 
@LACityCouncilOver shelters and halfway-houses--many of which require religious, 12-step, psych group participation that might not apply--it is for many. But I assume you are speaking about the choice between a tent and a studio hotel room or small apartment with low-cost rent.

Totally agree.",,,,
JTripper,@chritter66,2020-11-20T22:07:38.000Z,"Replying to 
@gineycat
 @CD6Nury
 and 
@LACityCouncilHomeless punks can always stay with me, Krissy and Janet. We won't tell Mr. Furley.",,,,
Peter Mayor's Discount Clune,@Peter_Clune,2020-11-20T21:54:08.000Z,"Replying to 
@Peter_Clune
 @JoeBuscaino
 and 
@LACityCouncilMaybe spend less time pushing for inhumane policies of criminalization and touting one off success stories and instead work to build a functioning and compassionate city government that truly addresses the housing needs of all its residents in systematic and sustainable ways.",,,,4
Eric Ares,@EricJAres,2020-11-20T21:53:54.000Z,".
@LACityCouncil
, policies that actively harm unhoused people & make it more difficult for them to come inside are always wrong & only worsen the homeless crisis in LA. 

But to do so RIGHT NOW is beyond cruel and deadly. 

 #HouseKeysNOTHandcuffsLA Public Health
@lapublichealth
 · Nov 19
#COVID19 cases are surging and the time for you to act is now. Stay home as much as possible, reconsider travel plans, avoid gathering indoors and wear the face covering every time you leave your home.",,,,1
Peter Mayor's Discount Clune,@Peter_Clune,2020-11-20T21:48:01.000Z,"Replying to 
@Peter_Clune
 and 
@JoeBuscainoIf 8 years into your time at 
@LACityCouncil
  your Office Manager needs to step in to get someone housed you should really be asking yourself how you have managed to fail so horribly at building competent system of support that this is even necessary.",,1,,6
Chancellor Potato,@poignant_potato,2020-11-20T21:40:11.000Z,"Replying to 
@Catherine3684
 @gineycat
 and 2 othersthey don't understand that choosing to live in one of the most expensive cities in the world is, in fact, a personal choice.... yea, fresno sucks but housing is super cheap out there.",,,,1
Chancellor Potato,@poignant_potato,2020-11-20T21:38:42.000Z,"Replying to 
@BruceRayCarr1
 @DaveMustang9
 and 3 othersFresno is 2 hours away. If you can't afford LA, move to somewhere cheaper.",,1,,1
Chancellor Potato,@poignant_potato,2020-11-20T21:36:22.000Z,"Replying to 
@gineycat
 @CD6Nury
 and 
@LACityCouncilDo you guys ever look into why the homeless population keeps increasing in LA even though LA provides so many services for the homeless? It's not rising housing costs... your majority homeless population isn't there because rent got too high.",,,,
